"","installment","int_rate","last_pymnt_amnt","loan_amnt","purpose","application_type","revol_bal","dti","delinq_2yrs","mes","ano","grade","inq_last_6mths","mort_acc","open_acc","revol_util","total_acc","addr_state","annual_inc","emp_length","home_ownership","verification_status","loan_status"
"71",456.86,23.63,6.12,9.68,"1",1,8.3,17.25,0,"12","2","3",1,1,9,48.7,27,"0",10.71,"2","2","0","1"
"72",240.37,14.33,5.48,8.85,"2",1,9.53,30.96,1,"7","1","2",1,1,15,59.6,25,"3",10.82,"1","3","0","1"
"73",529.51,16.29,6.27,9.62,"1",1,10.43,28.97,0,"10","2","2",0,0,18,87.3,45,"3",11.16,"1","2","0","1"
"74",383.87,10.16,5.95,9.8,"1",1,10.01,14.43,0,"7","2","1",0,1,14,47.9,38,"3",11.51,"1","3","0","1"
"75",631.06,15.8,6.45,9.8,"1",1,9.94,33.03,0,"1","2","2",1,0,15,37.9,35,"2",10.78,"0","3","0","1"
"76",1235.52,16.29,7.12,10.46,"1",1,10.44,30.01,0,"12","2","2",0,0,18,81.9,57,"0",11.31,"2","2","0","1"
"77",376.03,15.31,5.93,9.29,"1",1,8.48,14.78,0,"2","1","2",0,1,5,83.4,22,"1",10.69,"0","3","0","1"
"78",283.98,13.11,5.65,9.43,"0",1,10.43,22.44,0,"11","2","1",0,0,10,58.1,25,"0",10.82,"2","2","2","1"
"79",749.94,17.27,3.31,10.31,"1",1,10.86,34.95,0,"12","2","2",1,1,11,59.4,29,"3",11.29,"1","3","0","1"
"80",364.96,13.11,5.9,9.68,"1",1,10.37,21.82,0,"12","2","1",0,1,12,91.8,29,"2",11.29,"0","3","0","1"
"81",1059.02,16.29,4.14,10.31,"1",1,10.96,26.49,1,"11","2","2",1,1,8,101,33,"0",11.61,"0","3","0","1"
"82",381.72,11.14,5.94,9.77,"1",1,10.66,22.63,0,"3","2","1",0,1,11,78.8,35,"2",11.41,"2","3","0","1"
"83",787.26,21,6.67,10.28,"1",1,9.57,24.37,1,"10","2","3",0,1,14,51,45,"4",11.08,"0","3","0","1"
"84",382,17.77,5.95,9.27,"1",1,9.33,27.7,1,"2","0","3",1,0,15,78.3,24,"1",11,"0","2","0","1"
"85",565.62,12.12,6.34,9.74,"2",1,9.34,19.35,1,"4","1","1",0,0,8,60,13,"1",10.78,"1","2","1","1"
"86",856.54,16.29,6.75,10.46,"2",1,9.99,7.61,0,"3","2","2",1,1,6,36.4,27,"4",11.74,"1","2","0","1"
"87",187.75,7.9,5.24,8.7,"0",1,8.76,16.78,0,"12","2","0",1,0,13,20.8,36,"3",11.51,"2","3","1","1"
"88",686.77,14.33,6.53,9.9,"1",1,10.66,14.2,1,"10","2","2",1,1,11,85.5,36,"4",11.2,"2","3","0","1"
"89",324.5,14.33,5.78,9.15,"1",1,8.74,28.77,0,"5","2","2",0,0,4,90.8,24,"0",10.24,"1","2","0","1"
"90",412.06,14.33,6.02,9.39,"0",1,9.38,7.98,0,"10","1","2",0,0,8,69.1,17,"1",10.96,"0","2","1","1"
"91",564.75,15.8,6.34,10.06,"1",1,9.52,17.58,0,"11","2","2",0,0,12,51.4,20,"1",11.13,"1","2","0","1"
"92",499.08,12.12,6.21,9.62,"0",1,9.1,11.32,0,"12","2","1",0,0,15,24.5,38,"1",11.08,"1","2","1","1"
"93",513.94,20.49,6.24,9.86,"1",1,9.57,19.19,1,"1","2","3",1,1,17,71.8,29,"3",11.22,"0","2","0","1"
"94",214.73,19.72,5.37,8.67,"2",1,7.75,28.24,0,"8","1","3",1,0,12,77.8,32,"4",10.31,"0","2","2","1"
"95",796.08,19.72,6.68,10.32,"0",1,10.47,20.63,0,"7","2","3",1,1,16,69.1,34,"0",11.55,"1","3","0","1"
"96",657.12,12.12,6.49,9.89,"1",1,9.56,29.05,1,"11","2","1",0,0,7,34.5,23,"2",10.69,"1","1","0","1"
"97",491.94,21.49,6.91,9.8,"0",1,9.45,25.83,1,"10","1","3",1,0,13,72.1,22,"0",11.08,"0","2","0","1"
"98",254.17,16.29,5.54,8.88,"0",1,9.75,16.05,0,"2","2","2",0,0,13,90.5,28,"3",10.52,"0","2","1","1"
"99",360.96,19.72,5.89,9.19,"2",1,7.8,17.46,0,"7","0","3",0,0,13,42.8,17,"0",10.97,"0","2","0","1"
"100",492.08,11.14,6.2,9.62,"1",1,8.77,20.94,0,"1","1","1",0,0,16,24.1,31,"0",11,"1","2","1","1"
"101",474.77,16.29,6.16,9.87,"1",1,10.41,26.09,0,"5","1","2",1,1,10,65.8,27,"2",10.92,"2","3","0","1"
"102",189.68,17.27,5.25,8.58,"2",1,6.79,15.51,0,"2","1","2",0,0,7,63.7,14,"1",10.6,"0","2","1","1"
"103",484.24,15.8,6.18,9.9,"1",1,9.71,15.89,0,"8","2","2",1,1,8,57.9,25,"4",10.71,"2","3","0","1"
"104",716.8,11.14,6.57,9.99,"0",1,9.65,29.83,0,"5","1","1",0,1,9,60.8,20,"2",10.82,"1","2","0","1"
"105",440.51,16.29,6.09,9.8,"1",1,8.74,9.71,1,"6","1","2",0,1,12,82.1,20,"1",11.46,"0","3","0","1"
"106",966.27,21.98,6.87,10.46,"1",1,10.45,31.87,0,"5","2","3",1,1,20,78.1,42,"2",11.36,"1","3","0","1"
"107",613.51,22.47,6.42,10,"1",1,10.35,33.93,1,"6","2","3",1,1,14,92.2,28,"4",11.02,"2","3","0","1"
"108",301.2,13.11,6.32,9.1,"1",1,8.18,28.33,1,"8","2","1",0,1,8,77.5,40,"0",10.78,"2","3","0","1"
"109",521.05,23.76,3.28,9.81,"1",1,9.18,26.94,0,"11","1","3",1,0,17,63.6,24,"0",10.84,"0","2","0","1"
"110",630.65,17.77,7.16,9.77,"1",1,9.59,14.43,1,"10","2","3",1,1,10,51.2,29,"0",11.23,"2","3","2","1"
"111",150.59,15.31,5.01,8.37,"1",1,9.17,20.33,1,"2","2","2",1,1,7,54.5,24,"3",10.8,"0","3","1","1"
"112",499.08,12.12,6.21,9.62,"1",1,9.28,12.96,0,"11","2","1",0,0,4,88.1,15,"0",11.39,"2","2","1","1"
"113",226.06,21,5.42,8.7,"2",1,8.83,28.95,1,"8","2","3",1,0,6,84,29,"1",10.6,"2","2","1","1"
"114",497.04,8.9,6.21,10.09,"1",1,8.8,1.47,0,"2","2","0",1,1,11,15.1,32,"2",11.45,"0","3","0","1"
"115",252.43,15.8,5.53,8.88,"1",1,10.08,18.52,0,"8","2","2",1,1,11,85.1,28,"2",11.46,"0","3","0","1"
"116",336.57,15.8,5.82,9.17,"2",1,7.99,5.63,1,"4","2","2",1,0,7,22.3,19,"1",11.35,"1","2","1","1"
"117",536.81,17.27,5.92,9.62,"1",1,7.19,1.74,1,"2","2","2",1,1,3,88.7,21,"0",11.23,"0","2","2","1"
"118",399.97,17.27,5.99,9.68,"2",1,9.27,18.79,0,"1","2","2",1,1,14,71.9,23,"1",11.29,"0","3","2","1"
"119",370.22,19.72,5.91,9.21,"1",1,9.13,19.86,0,"12","1","3",1,0,13,73.4,25,"0",11.46,"0","2","2","1"
"120",382.9,17.77,5.95,9.27,"1",1,9,23.52,0,"11","1","3",0,0,6,85.7,9,"3",10.37,"0","3","0","1"
"121",599.96,17.27,6.4,10.09,"0",1,9.9,21.17,0,"5","2","2",1,1,12,58.8,31,"1",11.23,"1","3","0","1"
"122",492.08,11.14,6.2,9.62,"1",1,8.38,31.76,0,"4","1","1",0,0,15,58.7,34,"2",11.3,"2","2","0","1"
"123",131.51,18.75,4.88,8.19,"2",1,9.29,20.34,0,"3","1","3",1,0,9,86.4,21,"1",11,"0","2","1","1"
"124",169.12,14.33,5.13,8.5,"1",1,8.3,3.51,1,"12","2","2",0,0,6,46.1,14,"4",10.55,"1","1","2","1"
"125",758.55,21.49,6.63,9.9,"2",1,8.28,11.81,1,"11","2","3",0,0,14,69.3,33,"0",11.23,"2","2","0","1"
"126",501.21,17.27,6.22,9.91,"1",1,9.39,23.38,0,"10","2","2",0,1,15,42.9,28,"2",11,"0","3","0","1"
"127",274.71,14.33,5.62,8.99,"1",1,9.75,13.88,0,"12","2","2",1,0,6,86.3,16,"1",11,"2","2","1","1"
"128",884.4,17.77,6.78,10.46,"1",1,9.99,12.4,0,"6","1","3",0,1,14,89.5,22,"2",11.72,"0","3","0","1"
"129",468.03,24.83,5.42,9.68,"2",1,9.34,15.72,1,"4","2","3",1,1,34,57.6,57,"1",11.16,"0","3","0","1"
"130",337.47,13.11,5.82,9.21,"1",1,8.67,14.34,1,"8","2","1",0,1,7,86.6,38,"1",11.08,"0","3","1","1"
"131",343.39,14.33,5.84,9.21,"0",1,9.25,19.62,0,"8","1","2",1,0,13,65.3,18,"3",10.43,"0","2","1","1"
"132",607.45,13.11,6.41,9.8,"2",1,8.39,10.53,0,"3","2","1",1,0,21,3.7,37,"1",12.03,"1","2","0","1"
"133",323.43,10.16,5.78,9.21,"1",1,10.19,25.06,0,"7","2","1",0,0,13,86.3,22,"2",11.78,"0","2","0","1"
"134",406.77,15.8,6.01,9.73,"1",1,9.03,13.26,0,"5","2","2",0,1,6,46.5,12,"3",10.6,"1","3","0","1"
"135",560.94,15.8,6.33,9.68,"1",1,9.04,13.58,0,"2","2","2",1,0,19,44.7,39,"0",11.29,"2","2","0","1"
"136",474.97,17.27,6.16,9.85,"1",1,9.81,27.97,0,"11","2","2",0,0,11,92,22,"3",11.29,"2","2","0","1"
"137",330.14,19.05,5.8,9.1,"1",1,8.99,29.17,0,"4","1","3",1,0,9,66.3,16,"1",10.57,"0","3","1","1"
"138",391.56,16.29,6.69,9.68,"1",1,9.46,20.94,0,"3","2","2",1,1,12,48.2,15,"2",10.65,"1","3","0","1"
"139",1148.18,11.14,7.05,10.46,"0",1,10.53,12.4,0,"12","2","1",0,1,26,46.7,50,"1",12.74,"2","3","0","1"
"140",917.18,23.28,6.82,10.38,"1",1,9.63,33.42,1,"1","2","3",0,0,7,88.4,15,"3",11.18,"2","2","0","1"
"141",720.75,17.77,9.66,9.9,"1",1,10.48,27.27,0,"1","2","3",1,1,22,68.1,41,"0",11.2,"2","3","2","1"
"142",400.24,10.16,5.99,9.42,"1",1,9.02,15.2,0,"10","2","1",1,1,11,32.8,26,"3",10.71,"1","3","0","1"
"143",1345.2,22.47,7.6,10.46,"1",1,9.87,20.91,0,"1","2","3",1,1,11,68.5,36,"2",11.6,"0","3","0","1"
"144",375.49,7.9,5.93,9.39,"1",1,8.04,23.08,0,"4","2","0",1,0,11,18.8,19,"3",11.08,"2","1","2","1"
"145",254.8,18.49,5.54,8.85,"1",1,8.73,9.32,0,"3","2","3",1,0,5,76,11,"1",10.31,"2","2","2","1"
"146",309.39,18.49,5.73,9.05,"0",1,9,17.69,0,"2","0","3",1,0,5,74,12,"2",10.15,"0","2","1","1"
"147",431.33,16.29,6.07,9.78,"1",1,9.74,14.79,1,"8","2","2",0,1,12,88.3,27,"0",10.6,"1","3","0","1"
"148",665.44,12.12,6.5,9.9,"1",1,10.38,20.94,1,"6","2","1",0,0,10,60.4,21,"1",11.08,"2","2","0","1"
"149",1227.05,15.8,7.11,10.46,"2",1,11.38,10.41,0,"6","2","2",1,1,10,83.3,25,"1",13.27,"2","3","2","1"
"150",453.63,23.28,6.12,9.68,"1",1,9.59,18.05,0,"12","1","3",0,0,16,61.6,18,"1",10.51,"2","2","0","1"
"151",847.42,15.8,6.74,10.46,"1",1,10.63,6.97,0,"1","2","2",1,1,12,49.3,41,"3",12.17,"2","3","0","1"
"152",356.71,18.49,5.88,9.19,"1",1,8.51,18.18,0,"12","1","3",1,0,10,42.4,27,"0",10.98,"0","2","2","1"
"153",674.94,13.11,2.21,9.9,"1",1,10.14,15.94,1,"4","2","1",1,1,13,71.6,25,"2",11.35,"2","3","0","1"
"154",684.43,14.09,6.53,9.9,"1",1,9.81,30.64,0,"10","2","1",0,0,11,76.6,64,"2",10.71,"0","2","0","1"
"155",454.84,17.77,6.12,9.8,"1",1,9.4,17.22,1,"12","2","3",1,1,13,44.4,21,"2",11,"2","3","2","1"
"156",966.74,15.8,6.32,10.22,"1",1,10.15,20.05,0,"7","2","2",1,1,7,88.2,24,"1",11.03,"0","3","0","1"
"157",610.18,17.27,6.41,9.74,"1",1,8.42,16.28,1,"11","2","2",0,1,9,23.7,26,"2",11.03,"2","3","1","1"
"158",127.97,16.29,4.85,8.2,"2",1,8.08,21.75,1,"6","2","2",1,1,12,12.4,46,"1",11.29,"0","3","0","1"
"159",611.82,16.29,6.42,10.13,"1",1,10.02,17.81,0,"1","2","2",1,1,16,58.8,44,"1",11.31,"2","3","0","1"
"160",259.47,17.77,5.32,8.88,"1",1,9.12,19.33,0,"2","1","3",0,0,7,74.5,15,"2",10.24,"0","1","1","1"
"161",435.82,15.8,6.08,9.8,"1",1,9.83,11.79,1,"7","2","2",0,1,12,40.3,22,"0",10.6,"2","3","0","1"
"162",439.53,14.33,5.44,9.46,"1",1,8.43,24.82,0,"1","2","2",1,1,10,43.3,21,"3",10.82,"1","3","0","1"
"163",1181.15,13.11,6.38,10.46,"1",1,9.02,23.98,0,"7","2","1",0,1,12,33.4,29,"2",11.53,"2","3","0","1"
"164",506.21,13.11,6.23,9.62,"1",1,8.55,22.32,1,"7","2","1",1,1,13,16.2,36,"1",10.82,"0","3","1","1"
"165",266.18,12.12,5.58,8.99,"2",1,4.38,17.23,0,"5","2","1",1,0,7,3.6,21,"1",11.07,"2","3","1","1"
"166",323.98,13.11,5.78,9.17,"1",1,8.6,15.3,0,"10","0","1",0,0,4,84.6,6,"3",10.78,"1","2","2","1"
"167",388.11,10.16,5.96,9.39,"1",1,9.27,25.35,1,"11","2","1",0,0,14,44.2,32,"3",10.78,"1","2","1","1"
"168",884.4,17.77,6.78,10.46,"1",1,6.73,20.1,0,"3","1","3",0,0,12,3.3,22,"0",11.53,"1","2","0","1"
"169",141.11,15.8,4.95,8.3,"1",1,9.32,16.04,0,"4","2","2",0,0,10,91.1,20,"3",10.31,"0","2","1","1"
"170",370.71,8.9,5.92,9.79,"2",1,9.94,9.6,0,"7","2","0",1,1,12,35.5,31,"0",11.61,"2","3","2","1"
"171",429.79,16.29,6.06,9.41,"0",1,8.6,9.75,1,"12","2","2",1,0,20,57.7,42,"0",10.76,"0","2","0","1"
"172",328.06,11.14,5.79,9.21,"0",1,9.46,8.46,0,"12","2","1",0,0,10,53.7,19,"1",11,"2","1","2","1"
"173",283.48,13.11,5.65,9.04,"1",1,9.94,26.15,0,"2","1","1",0,0,8,94.5,16,"2",10.97,"1","2","0","1"
"174",446.6,19.05,6.1,9.41,"2",1,8.75,7.92,1,"12","2","3",1,1,7,52.7,16,"3",10.46,"0","3","0","1"
"175",293.46,19.05,5.68,8.99,"1",1,8.94,15.51,0,"2","0","3",1,0,14,39.8,17,"1",10.2,"0","2","0","1"
"176",793.85,23.28,6.68,10.24,"1",1,9.42,8.12,1,"5","2","3",1,1,6,95.8,22,"4",11.57,"0","3","2","1"
"177",618.09,14.33,7.12,9.8,"1",1,9.93,16.75,0,"11","1","2",1,1,21,51.4,36,"0",11.16,"1","3","1","1"
"178",492.13,22.95,6.2,9.77,"1",1,8.03,26.53,1,"4","2","3",1,1,9,70.1,25,"2",10.71,"2","3","0","1"
"179",498.23,15.31,6.9,9.94,"1",1,9.59,28.56,0,"1","2","2",0,1,8,76.8,32,"4",10.8,"1","3","0","1"
"180",411.31,18.49,3.25,9.33,"2",1,9.65,15.23,0,"4","2","3",0,1,10,88.7,26,"3",10.77,"0","3","1","1"
"181",188.38,21,5.24,8.52,"1",1,7.65,29.66,0,"11","1","3",1,0,6,26.3,12,"2",10.37,"0","2","0","1"
"182",108.12,17.77,4.68,8.01,"2",1,9.49,23.76,0,"8","2","3",1,1,19,19.2,39,"2",10.31,"2","3","1","1"
"183",103.02,14.33,4.63,8.01,"2",1,8.17,25.82,0,"11","2","2",0,1,9,78.8,26,"1",10.8,"1","3","1","1"
"184",174.09,15.31,5.16,8.52,"2",1,8.42,12.44,0,"12","1","2",1,0,6,79.5,12,"3",10.86,"1","2","1","1"
"185",956.55,21.49,6.86,10.46,"1",1,10.62,30.71,0,"8","2","3",0,0,7,89.7,20,"3",11.49,"2","2","0","1"
"186",866.06,11.14,7.46,10.18,"1",1,10.46,25.44,0,"12","2","1",1,0,19,79.6,33,"4",11.36,"1","1","0","1"
"187",876.13,7.9,6.78,10.24,"1",1,10.22,16.44,1,"8","2","0",0,1,19,51.1,53,"0",11.73,"2","2","0","1"
"188",610.18,17.27,6.41,9.74,"1",1,9.83,20.8,0,"5","1","2",1,0,13,83.7,31,"0",10.57,"2","2","1","1"
"189",757.83,22.47,6.63,10.21,"1",1,7.28,19.81,1,"6","1","3",0,1,8,20.7,15,"1",11.03,"1","2","0","1"
"190",543.68,11.14,6.3,10.12,"1",1,9.87,24.8,1,"12","2","1",0,1,20,21.3,41,"3",11.23,"0","3","0","1"
"191",494.21,16.29,5.53,9.55,"1",1,9.36,17.76,0,"3","2","2",1,0,11,76.9,25,"1",10.71,"2","2","0","1"
"192",135.64,21,4.91,8.19,"0",1,8.09,6.16,0,"8","1","3",0,0,3,74.1,4,"4",10,"1","2","1","1"
"193",463.04,13.11,6.14,9.92,"1",1,11.74,28.9,0,"6","2","1",1,1,17,79.1,36,"1",11.99,"0","3","0","1"
"194",562.87,16.29,6.33,10.04,"1",1,9.8,28.71,1,"12","2","2",1,1,12,52.1,28,"0",11.16,"2","3","0","1"
"195",611.82,16.29,6.42,10.13,"0",1,10.81,31.36,0,"7","2","2",1,1,22,78.8,46,"3",11.3,"2","3","0","1"
"196",248.89,13.11,5.52,8.91,"0",1,10.56,30.79,1,"10","2","1",1,1,17,57.4,38,"1",11.08,"2","3","0","1"
"197",499.08,12.12,6.21,9.62,"0",1,9.78,13.13,0,"12","2","1",1,1,9,60.8,27,"2",10.94,"0","3","1","1"
